longitude,latitude,issue_type,issue_Description,ticket_created_date_time
-8925594.99069282,2977739.50999966,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 13:59:45.570+00
-8926057.41185758,2977787.61899422,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:01:43.908+00
-8931554.25699346,2971618.589378,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:03:47.742+00
-8925797.92612454,2977895.09184363,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:05:24.175+00
-8925688.49906509,2978065.39278457,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:07:19.113+00
-8925735.69852918,2978094.08565809,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:12:40.475+00
-8925688.49906509,2978065.39278457,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:26:02.917+00
-8925789.57716273,2978290.85597418,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:27:43.613+00
-8925929.72840164,2978314.23112779,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:30:03.359+00
-8925990.50884361,2978136.38301386,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:34:01.193+00
-8925836.33134886,2978059.33265899,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:35:22.290+00
-8925932.28874993,2977757.19529291,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:38:29.811+00
-8925954.66396758,2978054.13826764,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:40:18.460+00
-8926151.25418832,2977785.02184652,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 14:43:10.678+00
-8926598.20194385,2973538.06481085,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 08:18:54.874+00
-8930847.37822692,2977647.12633256,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/17 09:16:19.660+00
-8931200.7062907,2974604.97455792,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/18 16:03:44.502+00
-8930797.50709505,2969811.72294222,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/19 07:53:40.627+00
-8933121.85806281,2966895.88969814,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/21 11:02:57.632+00
-8928096.22833146,2969902.07952024,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 11:22:36.736+00
-8928070.95880705,2971087.52036523,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 11:24:20.192+00
-8928838.84065454,2974427.41877102,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 11:51:52.082+00
-8927127.74876156,2971148.58737852,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 11:54:17.412+00
-8933283.49396344,2968203.93857924,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:17:31.386+00
-8927637.92598786,2974146.25196042,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:22:18.966+00
-8933792.00139739,2972346.73899929,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:24:13.838+00
-8935446.32035006,2970483.0448168,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:46:55.546+00
-8935636.67667932,2970621.98545814,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:48:33.084+00
-8935464.79938554,2970594.41972804,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:49:51.387+00
-8935756.5677709,2970046.57703735,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/24 13:51:20.142+00
-8931694.0742739,2969283.93298039,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/20 09:48:38.738+00
-8926614.565909,2972878.34814556,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/20 11:34:40.025+00
-8927260.66423356,2979723.2405512,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/20 13:04:48.205+00
-8926613.45271409,2971073.79886483,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/21 11:32:44.727+00
-8935577.56602971,2971065.39290697,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/21 11:34:50.875+00
-8928772.38291853,2973057.73967466,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/21 13:26:41.049+00
-8928421.50388356,2976666.18873014,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/19 13:49:11.572+00
-8927778.41118524,2976392.02767758,COMPWSF,STORM FLOOD/ DRAINAGE,2022/10/19 17:15:42.045+00
